order_book_id,date,close,volume
000852.XSHG,2016-10-20,8995.4099,11641295300.0
000852.XSHG,2016-10-21,8943.0111,11182151200.0
000852.XSHG,2016-10-24,9000.7027,11138265900.0
000852.XSHG,2016-10-25,9039.4803,11421991900.0
000852.XSHG,2016-10-26,9000.7596,12416231600.0
000852.XSHG,2016-10-27,8997.0159,10149911800.0
000852.XSHG,2016-10-28,8914.6166,11240219000.0
000852.XSHG,2016-10-31,8910.5081,10115549400.0
000852.XSHG,2016-11-01,9006.7893,10655932700.0
000852.XSHG,2016-11-02,8946.7436,12137092500.0
000852.XSHG,2016-11-03,9004.8546,13551786600.0
000852.XSHG,2016-11-04,8979.9261,11965658500.0
000852.XSHG,2016-11-07,8975.566,11523430300.0
000852.XSHG,2016-11-08,9030.7309,11203265000.0
000852.XSHG,2016-11-09,8967.5963,14302103400.0
000852.XSHG,2016-11-10,9083.8442,13975912500.0
000852.XSHG,2016-11-11,9121.5092,14658005300.0
000852.XSHG,2016-11-14,9152.1653,14747169000.0
000852.XSHG,2016-11-15,9197.8606,13237289800.0
000852.XSHG,2016-11-16,9211.9488,13822570200.0
000852.XSHG,2016-11-17,9174.4386,11843246900.0
000852.XSHG,2016-11-18,9146.2138,11285068300.0
000852.XSHG,2016-11-21,9167.4921,10692156900.0
000852.XSHG,2016-11-22,9244.2118,11704371000.0
000852.XSHG,2016-11-23,9180.011,12402560200.0
000852.XSHG,2016-11-24,9116.5664,11236606100.0
000852.XSHG,2016-11-25,9134.8153,10949827200.0
000852.XSHG,2016-11-28,9133.9097,10363203900.0
000852.XSHG,2016-11-29,9031.2898,11003544300.0
000852.XSHG,2016-11-30,9014.913,9397614700.0
000852.XSHG,2016-12-01,9055.9856,8781264100.0
000852.XSHG,2016-12-02,8900.4144,10057233200.0
000852.XSHG,2016-12-05,8851.5163,8378221400.0
000852.XSHG,2016-12-06,8871.7288,7375064500.0
000852.XSHG,2016-12-07,8969.1357,8364989300.0
000852.XSHG,2016-12-08,8914.5121,8552181100.0
000852.XSHG,2016-12-09,8881.3429,8345973600.0
000852.XSHG,2016-12-12,8397.4837,12418210100.0
000852.XSHG,2016-12-13,8433.5874,9000416600.0
000852.XSHG,2016-12-14,8378.0562,8986196700.0
000852.XSHG,2016-12-15,8467.7081,8782564100.0
000852.XSHG,2016-12-16,8559.9905,8782936700.0
000852.XSHG,2016-12-19,8551.3258,8359021500.0
000852.XSHG,2016-12-20,8546.1909,7765967900.0
000852.XSHG,2016-12-21,8609.4052,8190383600.0
000852.XSHG,2016-12-22,8607.9453,8073703600.0
000852.XSHG,2016-12-23,8509.361,7963635300.0
000852.XSHG,2016-12-26,8547.0972,7627013600.0
000852.XSHG,2016-12-27,8555.9901,7350422000.0
000852.XSHG,2016-12-28,8521.3751,7567201800.0
000852.XSHG,2016-12-29,8488.2972,7006922800.0
000852.XSHG,2016-12-30,8490.8611,6899418000.0
000852.XSHG,2017-01-03,8565.1363,7267482900.0
000852.XSHG,2017-01-04,8669.9492,9410335200.0
000852.XSHG,2017-01-05,8670.7612,9488857300.0
000852.XSHG,2017-01-06,8609.8985,9765602000.0
000852.XSHG,2017-01-09,8653.8468,8979711900.0
000852.XSHG,2017-01-10,8609.5533,8911442800.0
000852.XSHG,2017-01-11,8519.845,8555321500.0
000852.XSHG,2017-01-12,8443.2609,7933044800.0
000852.XSHG,2017-01-13,8286.2411,7925718200.0
000852.XSHG,2017-01-16,7931.9554,10620820700.0
000852.XSHG,2017-01-17,8028.6514,7739049200.0
000852.XSHG,2017-01-18,7989.1406,6407627200.0
000852.XSHG,2017-01-19,7955.3917,6010725400.0
000852.XSHG,2017-01-20,8087.7723,6519986800.0
000852.XSHG,2017-01-23,8169.1089,6835373500.0
000852.XSHG,2017-01-24,8123.5863,6291684700.0
000852.XSHG,2017-01-25,8150.5957,5469716400.0
000852.XSHG,2017-01-26,8205.8706,5022816500.0
000852.XSHG,2017-02-03,8182.2785,4538879300.0
000852.XSHG,2017-02-06,8280.0082,6426307700.0
000852.XSHG,2017-02-07,8282.3749,7401738100.0
000852.XSHG,2017-02-08,8342.4339,7823875100.0
000852.XSHG,2017-02-09,8410.2611,9172477500.0
000852.XSHG,2017-02-10,8380.7863,9808551700.0
000852.XSHG,2017-02-13,8432.9571,8971092700.0
000852.XSHG,2017-02-14,8423.8355,8440136100.0
